order_id,created_at,customer_id,merchant_id,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,delivery_method,items_count,weight_kg,order_value_usd,currency,status,priority,pickup_address
o_000011,2026-02-23T19:26:11.387716+00:00,c_5932,m_00afd979,-17.857909,31.045234,-17.806542,31.030665,motorcycle,4,1.8,59.94,USD,RAW,1,Restaurant 19
o_000012,2026-02-23T19:24:11.387716+00:00,c_3764,m_d6228cc2,-17.808736,31.022907,-17.733412,31.001303,motorcycle,2,0.9,35.84,USD,RAW,0,Restaurant 7
o_000013,2026-02-23T19:15:11.387716+00:00,c_1907,m_12095ed3,-17.851467,31.089406,-17.800365,31.090669,motorcycle,1,3.2,21.76,USD,RAW,1,Restaurant 26
o_000014,2026-02-23T19:40:11.387716+00:00,c_5675,m_c0239d76,-17.798628,31.061797,-17.845954,31.007323,motorcycle,1,6.0,7.68,USD,RAW,1,Restaurant 13
o_000015,2026-02-23T20:05:11.387716+00:00,c_8455,m_a066eaf9,-17.857506,31.013548,-17.784687,31.016523,car,2,4.1,52.35,USD,RAW,0,Restaurant 4
o_000016,2026-02-23T20:01:11.387716+00:00,c_6812,m_ca098a15,-17.852305,31.07133,-17.844505,31.149026,car,5,4.4,17.46,USD,RAW,1,Restaurant 25
o_000017,2026-02-23T19:15:11.387716+00:00,c_4117,m_644e4554,-17.864093,31.094643,-17.829693,31.104266,motorcycle,4,4.9,17.44,USD,RAW,0,Restaurant 1
o_000018,2026-02-23T19:42:11.387716+00:00,c_3594,m_99d60443,-17.817112,31.006194,-17.81347,30.946695,car,3,4.4,14.23,USD,RAW,0,Restaurant 33
o_000019,2026-02-23T19:43:11.387716+00:00,c_6509,m_f8670ce7,-17.779151,31.014264,-17.710674,30.989567,motorcycle,2,1.6,21.98,USD,RAW,0,Restaurant 2
o_000020,2026-02-23T20:05:11.387716+00:00,c_2250,m_0e4ff2d0,-17.808527,31.0529,-17.876316,31.068561,motorcycle,4,2.7,49.24,USD,RAW,0,Restaurant 16
o_000021,2026-02-23T19:50:11.387716+00:00,c_4645,m_00afd979,-17.857909,31.045234,-17.870321,31.068418,motorcycle,3,2.1,53.67,USD,RAW,0,Restaurant 19
o_000022,2026-02-23T19:49:11.387716+00:00,c_2670,m_39c08352,-17.866952,31.004324,-17.914522,31.071916,motorcycle,3,6.6,42.97,USD,RAW,1,Restaurant 35
o_000023,2026-02-23T19:49:11.387716+00:00,c_5542,m_5648b3f0,-17.7955,31.081189,-17.875077,31.098466,motorcycle,5,0.6,6.87,USD,RAW,0,Restaurant 6
o_000024,2026-02-23T19:51:11.387716+00:00,c_9117,m_5f3a65c1,-17.858136,31.060189,-17.795222,30.999916,motorcycle,1,4.5,35.17,USD,RAW,0,Restaurant 27
o_000025,2026-02-23T19:43:11.387716+00:00,c_3380,m_d6bd3430,-17.805394,31.047474,-17.760851,31.069342,car,5,6.2,11.81,USD,RAW,0,Restaurant 15
o_000026,2026-02-23T20:06:11.387716+00:00,c_2826,m_ca098a15,-17.852305,31.07133,-17.857907,31.144328,motorcycle,1,7.9,51.18,USD,RAW,1,Restaurant 25
o_000027,2026-02-23T20:07:11.387716+00:00,c_5053,m_99d60443,-17.817112,31.006194,-17.85096,31.078886,car,4,7.5,31.41,USD,RAW,1,Restaurant 33
o_000028,2026-02-23T19:32:11.387716+00:00,c_8494,m_1c6a02ff,-17.823933,31.081858,-17.771848,31.092878,motorcycle,1,2.5,45.22,USD,RAW,0,Restaurant 18
o_000029,2026-02-23T20:07:11.387716+00:00,c_5472,m_f8670ce7,-17.779151,31.014264,-17.742293,30.945049,car,2,1.5,45.24,USD,RAW,1,Restaurant 2
o_000030,2026-02-23T19:34:11.387716+00:00,c_4176,m_39c08352,-17.866952,31.004324,-17.872124,31.003871,motorcycle,1,1.5,6.49,USD,RAW,0,Restaurant 35
o_000031,2026-02-23T20:10:11.387716+00:00,c_1977,m_6064c7e6,-17.818828,31.08103,-17.836137,31.059728,car,1,5.2,56.05,USD,RAW,0,Restaurant 29
o_000032,2026-02-23T19:41:11.387716+00:00,c_7555,m_03b2bb12,-17.784561,31.051658,-17.743129,31.07333,motorcycle,3,4.5,45.16,USD,RAW,0,Restaurant 5
o_000033,2026-02-23T19:14:11.387716+00:00,c_5670,m_04991748,-17.864421,31.068484,-17.866023,31.142028,motorcycle,5,5.1,25.65,USD,RAW,0,Restaurant 31
o_000034,2026-02-23T19:30:11.387716+00:00,c_2760,m_29de0f24,-17.84429,31.023472,-17.768603,31.095486,motorcycle,3,7.2,12.33,USD,RAW,0,Restaurant 21
o_000035,2026-02-23T20:02:11.387716+00:00,c_2183,m_99d60443,-17.817112,31.006194,-17.777886,30.969019,car,2,7.8,23.89,USD,RAW,0,Restaurant 33
o_000036,2026-02-23T19:29:11.387716+00:00,c_9518,m_5648b3f0,-17.7955,31.081189,-17.805872,31.063575,motorcycle,2,3.1,42.15,USD,RAW,1,Restaurant 6
o_000037,2026-02-23T20:03:11.387716+00:00,c_9043,m_644e4554,-17.864093,31.094643,-17.917857,31.020297,motorcycle,3,5.0,57.43,USD,RAW,0,Restaurant 1
o_000038,2026-02-23T19:59:11.387716+00:00,c_4526,m_e490e5b1,-17.777103,31.030462,-17.756986,31.068125,motorcycle,4,4.0,44.8,USD,RAW,0,Restaurant 36
o_000039,2026-02-23T19:59:11.387716+00:00,c_1358,m_bb329cae,-17.85212,31.010611,-17.782057,31.002074,motorcycle,3,3.0,11.13,USD,RAW,0,Restaurant 37
o_000040,2026-02-23T19:22:11.387716+00:00,c_2730,m_04991748,-17.864421,31.068484,-17.859827,31.141666,car,5,6.6,54.65,USD,RAW,0,Restaurant 31
o_000041,2026-02-23T19:49:11.387716+00:00,c_7838,m_101c13a8,-17.798679,31.015788,-17.755237,31.009814,motorcycle,3,2.1,7.5,USD,RAW,0,Restaurant 28
o_000042,2026-02-23T19:28:11.387716+00:00,c_4224,m_5f3a65c1,-17.858136,31.060189,-17.929124,31.085782,motorcycle,3,6.0,40.23,USD,RAW,0,Restaurant 27
o_000043,2026-02-23T19:55:11.387716+00:00,c_5918,m_6064c7e6,-17.818828,31.08103,-17.802463,31.050641,car,2,5.1,20.03,USD,RAW,0,Restaurant 29
o_000044,2026-02-23T19:23:11.387716+00:00,c_2908,m_0e4ff2d0,-17.808527,31.0529,-17.849601,31.051878,motorcycle,3,3.9,11.05,USD,RAW,0,Restaurant 16
o_000045,2026-02-23T19:53:11.387716+00:00,c_1560,m_1c6a02ff,-17.823933,31.081858,-17.796229,31.07609,motorcycle,3,5.9,9.26,USD,RAW,0,Restaurant 18
o_000046,2026-02-23T19:25:11.387716+00:00,c_2221,m_32289060,-17.836016,31.042825,-17.775136,31.062078,car,2,5.8,25.26,USD,RAW,0,Restaurant 24
o_000047,2026-02-23T19:58:11.387716+00:00,c_7613,m_e95f06c0,-17.800911,31.076042,-17.75084,31.002947,motorcycle,4,4.8,13.82,USD,RAW,0,Restaurant 8
o_000048,2026-02-23T19:14:11.387716+00:00,c_1380,m_b7748eb6,-17.78783,31.065698,-17.780683,31.095622,motorcycle,4,4.8,39.0,USD,RAW,0,Restaurant 34
o_000049,2026-02-23T20:09:11.387716+00:00,c_4919,m_101c13a8,-17.798679,31.015788,-17.786248,31.02132,motorcycle,1,7.0,55.9,USD,RAW,1,Restaurant 28
o_000050,2026-02-23T19:59:11.387716+00:00,c_3612,m_39c08352,-17.866952,31.004324,-17.940347,31.010074,motorcycle,4,1.6,11.98,USD,RAW,0,Restaurant 35
o_000051,2026-02-23T19:44:11.387716+00:00,c_3550,m_b7748eb6,-17.78783,31.065698,-17.760829,31.124584,car,5,7.9,17.06,USD,RAW,0,Restaurant 34
o_000052,2026-02-23T19:43:11.387716+00:00,c_1069,m_99d60443,-17.817112,31.006194,-17.791676,31.026079,car,5,5.3,42.94,USD,RAW,0,Restaurant 33
o_000053,2026-02-23T19:31:11.387716+00:00,c_1769,m_f8670ce7,-17.779151,31.014264,-17.776432,30.960228,motorcycle,4,5.4,34.22,USD,RAW,1,Restaurant 2
o_000054,2026-02-23T19:16:11.387716+00:00,c_5214,m_101c13a8,-17.798679,31.015788,-17.774976,30.987912,motorcycle,3,5.0,19.43,USD,RAW,0,Restaurant 28
o_000055,2026-02-23T19:22:11.387716+00:00,c_1295,m_d6228cc2,-17.808736,31.022907,-17.758797,31.033107,motorcycle,2,3.6,46.25,USD,RAW,0,Restaurant 7
o_000056,2026-02-23T19:28:11.387716+00:00,c_2592,m_3c00bf0a,-17.826355,31.038803,-17.843762,31.065675,motorcycle,2,6.8,7.24,USD,RAW,0,Restaurant 39
o_000057,2026-02-23T19:41:11.387716+00:00,c_9607,m_cc3e74e9,-17.82413,31.022554,-17.805656,30.957725,motorcycle,4,1.1,31.94,USD,RAW,0,Restaurant 30
o_000058,2026-02-23T19:31:11.387716+00:00,c_6287,m_5f81581f,-17.775717,31.100696,-17.791572,31.036503,motorcycle,2,4.9,49.17,USD,RAW,0,Restaurant 10
o_000059,2026-02-23T19:34:11.387716+00:00,c_3967,m_c0239d76,-17.798628,31.061797,-17.726833,31.123215,car,2,7.1,15.82,USD,RAW,1,Restaurant 13
o_000060,2026-02-23T20:02:11.387716+00:00,c_4848,m_e0f744d1,-17.816355,31.041408,-17.809159,30.978982,motorcycle,3,3.3,37.82,USD,RAW,0,Restaurant 38
o_000061,2026-02-23T19:25:11.387716+00:00,c_8469,m_b7748eb6,-17.78783,31.065698,-17.778644,31.085659,motorcycle,4,3.4,22.21,USD,RAW,0,Restaurant 34
o_000062,2026-02-23T19:55:11.387716+00:00,c_8150,m_bea61bd0,-17.827623,31.092372,-17.784372,31.160111,motorcycle,3,4.7,27.47,USD,RAW,0,Restaurant 40
o_000063,2026-02-23T19:18:11.387716+00:00,c_5562,m_32289060,-17.836016,31.042825,-17.82382,31.087845,motorcycle,1,7.1,34.83,USD,RAW,0,Restaurant 24
o_000064,2026-02-23T19:58:11.387716+00:00,c_7249,m_5f81581f,-17.775717,31.100696,-17.781832,31.124353,car,1,6.8,23.31,USD,RAW,0,Restaurant 10
o_000065,2026-02-23T19:39:11.387716+00:00,c_8749,m_32289060,-17.836016,31.042825,-17.878962,31.051412,car,2,5.1,14.85,USD,RAW,0,Restaurant 24
o_000066,2026-02-23T19:32:11.387716+00:00,c_4479,m_04991748,-17.864421,31.068484,-17.90561,31.13384,motorcycle,1,7.9,19.14,USD,RAW,0,Restaurant 31
o_000067,2026-02-23T19:15:11.387716+00:00,c_9461,m_e092a60c,-17.845278,31.013093,-17.786724,31.005133,motorcycle,4,5.9,10.24,USD,RAW,1,Restaurant 14
o_000068,2026-02-23T20:02:11.387716+00:00,c_4368,m_6064c7e6,-17.818828,31.08103,-17.799832,31.013098,car,2,6.4,38.04,USD,RAW,0,Restaurant 29
o_000069,2026-02-23T19:14:11.387716+00:00,c_4442,m_3c00bf0a,-17.826355,31.038803,-17.763699,31.065259,car,4,1.3,40.06,USD,RAW,0,Restaurant 39
o_000070,2026-02-23T20:06:11.387716+00:00,c_6994,m_f8670ce7,-17.779151,31.014264,-17.728085,31.037983,motorcycle,1,7.0,5.04,USD,RAW,0,Restaurant 2
o_000071,2026-02-23T20:01:11.387716+00:00,c_2706,m_bea61bd0,-17.827623,31.092372,-17.904552,31.074486,motorcycle,3,0.9,15.58,USD,RAW,0,Restaurant 40
o_000072,2026-02-23T19:32:11.387716+00:00,c_2693,m_29de0f24,-17.84429,31.023472,-17.848557,31.030774,car,2,5.1,26.6,USD,RAW,0,Restaurant 21
o_000073,2026-02-23T19:39:11.387716+00:00,c_8212,m_1c6a02ff,-17.823933,31.081858,-17.779951,31.108354,car,5,3.5,44.41,USD,RAW,1,Restaurant 18
o_000074,2026-02-23T19:50:11.387716+00:00,c_5355,m_d6228cc2,-17.808736,31.022907,-17.80742,30.959265,motorcycle,1,5.9,44.01,USD,RAW,0,Restaurant 7
o_000075,2026-02-23T19:25:11.387716+00:00,c_1760,m_5f3a65c1,-17.858136,31.060189,-17.904004,31.118126,motorcycle,3,1.4,6.54,USD,RAW,0,Restaurant 27
o_000076,2026-02-23T19:29:11.387716+00:00,c_3978,m_e0f744d1,-17.816355,31.041408,-17.787941,30.971764,motorcycle,3,4.9,20.73,USD,RAW,0,Restaurant 38
o_000077,2026-02-23T19:54:11.387716+00:00,c_6347,m_0e4ff2d0,-17.808527,31.0529,-17.855007,31.106988,motorcycle,4,5.6,26.93,USD,RAW,0,Restaurant 16
o_000078,2026-02-23T19:40:11.387716+00:00,c_8133,m_c8470af9,-17.814399,31.069554,-17.73811,31.006392,motorcycle,5,5.4,57.06,USD,RAW,0,Restaurant 12
o_000079,2026-02-23T19:25:11.387716+00:00,c_7346,m_e95f06c0,-17.800911,31.076042,-17.839347,31.05781,motorcycle,3,3.8,41.97,USD,RAW,0,Restaurant 8
o_000080,2026-02-23T20:11:11.387716+00:00,c_9134,m_a066eaf9,-17.857506,31.013548,-17.851226,31.001543,motorcycle,5,6.7,42.98,USD,RAW,0,Restaurant 4
o_000081,2026-02-23T19:55:11.387716+00:00,c_2236,m_6064c7e6,-17.818828,31.08103,-17.867838,31.006204,motorcycle,4,3.9,30.65,USD,RAW,1,Restaurant 29
o_000082,2026-02-23T19:12:11.387716+00:00,c_5376,m_644e4554,-17.864093,31.094643,-17.899264,31.162967,motorcycle,1,2.3,58.85,USD,RAW,0,Restaurant 1
o_000083,2026-02-23T20:00:11.387716+00:00,c_8757,m_39c08352,-17.866952,31.004324,-17.885021,30.9853,motorcycle,1,0.5,53.18,USD,RAW,0,Restaurant 35
o_000084,2026-02-23T19:16:11.387716+00:00,c_3640,m_e95f06c0,-17.800911,31.076042,-17.785799,31.105073,motorcycle,4,2.3,10.62,USD,RAW,1,Restaurant 8
o_000085,2026-02-23T19:27:11.387716+00:00,c_8031,m_a066eaf9,-17.857506,31.013548,-17.919149,30.988874,car,3,6.2,39.7,USD,RAW,0,Restaurant 4
o_000086,2026-02-23T19:37:11.387716+00:00,c_9064,m_29de0f24,-17.84429,31.023472,-17.837702,30.992937,car,3,4.6,20.13,USD,RAW,0,Restaurant 21
o_000087,2026-02-23T19:33:11.387716+00:00,c_1569,m_12095ed3,-17.851467,31.089406,-17.787573,31.125666,motorcycle,4,5.4,16.81,USD,RAW,0,Restaurant 26
o_000088,2026-02-23T19:19:11.387716+00:00,c_3461,m_85c859e7,-17.818204,31.053733,-17.823977,31.005741,motorcycle,4,7.4,8.49,USD,RAW,0,Restaurant 32
o_000089,2026-02-23T19:14:11.387716+00:00,c_1961,m_5f81581f,-17.775717,31.100696,-17.700506,31.105276,car,3,4.9,9.14,USD,RAW,0,Restaurant 10
o_000090,2026-02-23T19:54:11.387716+00:00,c_4983,m_39c08352,-17.866952,31.004324,-17.807079,31.017084,motorcycle,3,4.8,49.03,USD,RAW,0,Restaurant 35
o_000091,2026-02-23T19:19:11.387716+00:00,c_5147,m_744ccee0,-17.812574,31.085557,-17.778229,31.034728,motorcycle,3,4.8,43.99,USD,RAW,0,Restaurant 17
o_000092,2026-02-23T19:27:11.387716+00:00,c_7477,m_cc3e74e9,-17.82413,31.022554,-17.747796,30.989179,motorcycle,5,4.8,46.63,USD,RAW,1,Restaurant 30
o_000093,2026-02-23T19:22:11.387716+00:00,c_2673,m_51398e90,-17.860748,31.072302,-17.817775,31.120573,motorcycle,5,7.1,53.79,USD,RAW,0,Restaurant 23
o_000094,2026-02-23T19:18:11.387716+00:00,c_5120,m_d6228cc2,-17.808736,31.022907,-17.872902,30.984377,motorcycle,2,1.1,54.84,USD,RAW,1,Restaurant 7
o_000095,2026-02-23T19:14:11.387716+00:00,c_6039,m_d6bd3430,-17.805394,31.047474,-17.789642,31.092607,motorcycle,3,3.8,45.85,USD,RAW,0,Restaurant 15
o_000096,2026-02-23T19:55:11.387716+00:00,c_3380,m_e490e5b1,-17.777103,31.030462,-17.734559,31.03874,motorcycle,4,4.3,46.04,USD,RAW,0,Restaurant 36
o_000097,2026-02-23T20:05:11.387716+00:00,c_5116,m_1c6a02ff,-17.823933,31.081858,-17.901238,31.136407,motorcycle,5,1.9,28.93,USD,RAW,0,Restaurant 18
o_000098,2026-02-23T19:33:11.387716+00:00,c_1215,m_e95f06c0,-17.800911,31.076042,-17.825989,31.028931,motorcycle,5,4.3,29.08,USD,RAW,0,Restaurant 8
o_000099,2026-02-23T19:42:11.387716+00:00,c_7893,m_644e4554,-17.864093,31.094643,-17.933017,31.096042,motorcycle,5,1.5,9.8,USD,RAW,0,Restaurant 1
o_000100,2026-02-23T19:32:11.387716+00:00,c_1514,m_838fa36b,-17.803645,31.030746,-17.807337,31.089523,motorcycle,3,2.1,31.21,USD,RAW,0,Restaurant 9
o_000101,2026-02-23T19:41:11.387716+00:00,c_1793,m_5648b3f0,-17.7955,31.081189,-17.830708,31.034198,motorcycle,4,1.6,23.61,USD,RAW,0,Restaurant 6
o_000102,2026-02-23T19:27:11.387716+00:00,c_4195,m_85c859e7,-17.818204,31.053733,-17.892871,31.076771,motorcycle,3,7.2,41.79,USD,RAW,0,Restaurant 32
o_000103,2026-02-23T19:18:11.387716+00:00,c_3477,m_f8670ce7,-17.779151,31.014264,-17.792596,30.9736,motorcycle,2,4.2,48.12,USD,RAW,0,Restaurant 2
o_000104,2026-02-23T19:34:11.387716+00:00,c_3371,m_39c08352,-17.866952,31.004324,-17.884634,31.069068,motorcycle,5,2.0,12.41,USD,RAW,0,Restaurant 35
o_000105,2026-02-23T19:23:11.387716+00:00,c_5313,m_5f81581f,-17.775717,31.100696,-17.743739,31.15598,motorcycle,5,0.6,15.46,USD,RAW,0,Restaurant 10
o_000106,2026-02-23T19:23:11.387716+00:00,c_7905,m_04991748,-17.864421,31.068484,-17.807804,31.052771,car,4,7.5,39.07,USD,RAW,0,Restaurant 31
o_000107,2026-02-23T20:07:11.387716+00:00,c_7519,m_00afd979,-17.857909,31.045234,-17.780542,31.029673,motorcycle,4,5.0,54.35,USD,RAW,0,Restaurant 19
o_000108,2026-02-23T19:27:11.387716+00:00,c_6269,m_ca098a15,-17.852305,31.07133,-17.898628,31.065318,motorcycle,3,2.5,38.41,USD,RAW,0,Restaurant 25
o_000109,2026-02-23T19:35:11.387716+00:00,c_8675,m_6064c7e6,-17.818828,31.08103,-17.746762,31.043581,motorcycle,5,2.7,29.68,USD,RAW,0,Restaurant 29
o_000110,2026-02-23T20:02:11.387716+00:00,c_3556,m_32289060,-17.836016,31.042825,-17.887777,31.008056,motorcycle,3,7.4,34.77,USD,RAW,0,Restaurant 24
o_000111,2026-02-23T19:38:11.387716+00:00,c_4979,m_744ccee0,-17.812574,31.085557,-17.867328,31.150633,motorcycle,1,7.0,53.12,USD,RAW,0,Restaurant 17
o_000112,2026-02-23T19:41:11.387716+00:00,c_7117,m_e092a60c,-17.845278,31.013093,-17.818007,31.041299,motorcycle,3,4.4,7.06,USD,RAW,0,Restaurant 14
o_000113,2026-02-23T19:47:11.387716+00:00,c_1956,m_e490e5b1,-17.777103,31.030462,-17.750587,31.026605,motorcycle,4,1.7,43.51,USD,RAW,0,Restaurant 36
o_000114,2026-02-23T19:45:11.387716+00:00,c_6895,m_cc3e74e9,-17.82413,31.022554,-17.86237,31.09463,car,2,1.9,50.68,USD,RAW,0,Restaurant 30
o_000115,2026-02-23T19:56:11.387716+00:00,c_4721,m_e490e5b1,-17.777103,31.030462,-17.850081,31.008882,car,4,6.5,16.56,USD,RAW,0,Restaurant 36
o_000116,2026-02-23T19:55:11.387716+00:00,c_4432,m_101c13a8,-17.798679,31.015788,-17.751836,31.036549,motorcycle,2,2.1,36.77,USD,RAW,0,Restaurant 28
o_000117,2026-02-23T19:16:11.387716+00:00,c_3799,m_c0239d76,-17.798628,31.061797,-17.793189,30.99941,motorcycle,5,6.5,41.67,USD,RAW,0,Restaurant 13
o_000118,2026-02-23T19:42:11.387716+00:00,c_3641,m_1c6a02ff,-17.823933,31.081858,-17.883699,31.044758,motorcycle,5,2.2,52.43,USD,RAW,0,Restaurant 18
o_000119,2026-02-23T19:20:11.387716+00:00,c_1680,m_12095ed3,-17.851467,31.089406,-17.783045,31.012668,motorcycle,3,7.8,21.51,USD,RAW,0,Restaurant 26
o_000120,2026-02-23T20:04:11.387716+00:00,c_3341,m_644e4554,-17.864093,31.094643,-17.865551,31.027423,motorcycle,4,5.6,48.42,USD,RAW,0,Restaurant 1
o_000121,2026-02-23T19:59:11.387716+00:00,c_9680,m_29de0f24,-17.84429,31.023472,-17.844816,30.949824,motorcycle,2,4.7,48.18,USD,RAW,0,Restaurant 21
o_000122,2026-02-23T19:48:11.387716+00:00,c_9443,m_bea61bd0,-17.827623,31.092372,-17.904861,31.095762,motorcycle,3,7.1,26.81,USD,RAW,0,Restaurant 40
o_000123,2026-02-23T19:37:11.387716+00:00,c_5131,m_ca098a15,-17.852305,31.07133,-17.884212,31.07735,motorcycle,5,4.8,44.29,USD,RAW,0,Restaurant 25
o_000124,2026-02-23T19:16:11.387716+00:00,c_5399,m_6064c7e6,-17.818828,31.08103,-17.788794,31.030639,motorcycle,3,7.3,52.76,USD,RAW,1,Restaurant 29
o_000125,2026-02-23T19:55:11.387716+00:00,c_1977,m_7c2f97a2,-17.807915,31.055598,-17.758157,31.111001,motorcycle,4,5.2,38.53,USD,RAW,0,Restaurant 20
o_000126,2026-02-23T19:58:11.387716+00:00,c_8279,m_d6bd3430,-17.805394,31.047474,-17.731177,31.111673,motorcycle,4,2.0,26.24,USD,RAW,0,Restaurant 15
o_000127,2026-02-23T19:51:11.387716+00:00,c_4449,m_99d60443,-17.817112,31.006194,-17.769395,31.038945,car,1,0.8,27.33,USD,RAW,0,Restaurant 33
o_000128,2026-02-23T19:32:11.387716+00:00,c_9430,m_c8470af9,-17.814399,31.069554,-17.767413,31.097216,motorcycle,1,1.2,51.04,USD,RAW,0,Restaurant 12
o_000129,2026-02-23T19:52:11.387716+00:00,c_8849,m_7c2f97a2,-17.807915,31.055598,-17.846825,31.116061,motorcycle,1,6.0,25.96,USD,RAW,0,Restaurant 20
o_000130,2026-02-23T19:52:11.387716+00:00,c_1702,m_bea61bd0,-17.827623,31.092372,-17.904643,31.154433,motorcycle,5,4.6,55.49,USD,RAW,0,Restaurant 40
o_000131,2026-02-23T19:40:11.387716+00:00,c_6905,m_e0f744d1,-17.816355,31.041408,-17.744347,31.06978,motorcycle,1,1.5,17.96,USD,RAW,1,Restaurant 38
o_000132,2026-02-23T20:10:11.387716+00:00,c_3874,m_d6bd3430,-17.805394,31.047474,-17.83937,31.031262,motorcycle,2,3.7,53.39,USD,RAW,0,Restaurant 15
o_000133,2026-02-23T20:10:11.387716+00:00,c_8506,m_0e4ff2d0,-17.808527,31.0529,-17.779213,31.037357,motorcycle,5,2.8,21.36,USD,RAW,0,Restaurant 16
o_000134,2026-02-23T19:50:11.387716+00:00,c_2883,m_dd53adad,-17.78651,31.048688,-17.78182,31.037732,motorcycle,3,6.9,19.62,USD,RAW,0,Restaurant 3
o_000135,2026-02-23T19:54:11.387716+00:00,c_5688,m_29de0f24,-17.84429,31.023472,-17.809911,30.960225,motorcycle,4,2.4,10.77,USD,RAW,0,Restaurant 21
o_000136,2026-02-23T19:32:11.387716+00:00,c_8467,m_f8670ce7,-17.779151,31.014264,-17.716477,31.0446,motorcycle,4,3.7,59.17,USD,RAW,1,Restaurant 2
o_000137,2026-02-23T19:52:11.387716+00:00,c_7220,m_c0239d76,-17.798628,31.061797,-17.753308,31.017878,car,1,1.1,26.32,USD,RAW,0,Restaurant 13
o_000138,2026-02-23T20:01:11.387716+00:00,c_8383,m_99d60443,-17.817112,31.006194,-17.788611,31.040237,car,3,3.6,47.17,USD,RAW,0,Restaurant 33
o_000139,2026-02-23T19:12:11.387716+00:00,c_7512,m_a066eaf9,-17.857506,31.013548,-17.933618,31.052725,motorcycle,1,1.0,39.51,USD,RAW,0,Restaurant 4
o_000140,2026-02-23T19:31:11.387716+00:00,c_1266,m_51398e90,-17.860748,31.072302,-17.939692,31.079554,car,1,4.9,35.28,USD,RAW,0,Restaurant 23
o_000141,2026-02-23T19:47:11.387716+00:00,c_3628,m_e0f744d1,-17.816355,31.041408,-17.840025,30.962561,motorcycle,1,7.3,6.69,USD,RAW,1,Restaurant 38
o_000142,2026-02-23T20:02:11.387716+00:00,c_6826,m_e092a60c,-17.845278,31.013093,-17.769307,30.941006,motorcycle,5,0.5,23.8,USD,RAW,0,Restaurant 14
o_000143,2026-02-23T19:55:11.387716+00:00,c_9731,m_644e4554,-17.864093,31.094643,-17.943235,31.103173,car,4,2.4,51.38,USD,RAW,0,Restaurant 1
o_000144,2026-02-23T19:54:11.387716+00:00,c_7703,m_0fa65dfb,-17.814282,31.041538,-17.775956,31.007485,car,5,2.6,56.62,USD,RAW,0,Restaurant 22
o_000145,2026-02-23T20:01:11.387716+00:00,c_1735,m_838fa36b,-17.803645,31.030746,-17.826648,31.103593,motorcycle,1,6.3,48.3,USD,RAW,0,Restaurant 9
o_000146,2026-02-23T20:07:11.387716+00:00,c_2352,m_bea61bd0,-17.827623,31.092372,-17.869855,31.090634,motorcycle,4,4.8,39.21,USD,RAW,0,Restaurant 40
o_000147,2026-02-23T19:37:11.387716+00:00,c_9081,m_3c00bf0a,-17.826355,31.038803,-17.885482,31.052497,motorcycle,4,4.6,39.0,USD,RAW,0,Restaurant 39
o_000148,2026-02-23T19:29:11.387716+00:00,c_5973,m_bb329cae,-17.85212,31.010611,-17.83501,31.021697,car,2,7.1,11.32,USD,RAW,0,Restaurant 37
o_000149,2026-02-23T19:52:11.387716+00:00,c_2840,m_e95f06c0,-17.800911,31.076042,-17.758392,31.079608,motorcycle,4,6.6,13.73,USD,RAW,0,Restaurant 8
